op_id,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,StageW,StageR1,StageR2,StageR3,StageR,RTT
72057594037929042,1316,2396,308,477432,3626,8118,493196,7074,1516,38,8628,484568
72057594037929255,1104,2292,316,475902,3562,9006,492182,6994,1452,42,8488,483694
72057594037929404,1118,2390,364,473418,3684,7306,488280,2786,1290,42,4118,484162
72057594037927999,1120,2458,134,503424,3542,17664,528342,7690,1616,38,9344,518998
72057594037928002,1078,2244,128,483120,3374,8068,498012,7736,1408,38,9182,488830
72057594037928164,612,2342,192,711918,3758,7360,726182,19158,1408,40,20606,705576
72057594037928465,1668,2252,268,477256,3580,8152,493176,6942,1390,36,8368,484808
72057594037928475,1072,2250,150,469480,3854,7756,484562,7592,1272,42,8906,475656
72057594037928705,1804,2428,318,474094,3810,7010,489464,7594,1462,42,9098,480366
72057594037929292,1080,2244,334,471746,2710,7814,485928,5354,2074,38,7466,478462
72057594037928680,1138,2332,138,473752,2640,7558,487558,6912,1436,36,8384,479174
72057594037928887,1174,2414,76,461096,3662,3822,472244,6984,1398,38,8420,463824
72057594037929445,768,2314,324,479984,2690,8602,494682,5044,1812,42,6898,487784
72057594037928094,1236,2488,146,485050,2886,18404,510210,7762,1540,40,9342,500868
72057594037928294,1166,2594,300,486442,2754,7308,500564,7176,1420,42,8638,491926
72057594037927971,18638,2494,108,630780,3632,17968,673620,7996,1396,38,9430,664190
72057594037928037,1738,2516,252,663010,3612,7120,678248,7446,1470,38,8954,669294
72057594037928583,1160,2372,260,468408,12732,6956,491888,6838,1306,38,8182,483706
72057594037928770,1158,2404,258,483036,3618,7148,497622,6920,1326,38,8284,489338
72057594037928966,472,2346,256,473138,2770,7726,486708,6898,1256,36,8190,478518
72057594037929193,1280,2348,324,468450,3666,7202,483270,6978,1578,40,8596,474674
72057594037929336,1140,2480,302,486534,2718,8686,501860,5062,1356,38,6456,495404
72057594037929400,1150,2512,256,470398,2784,8626,485726,5062,1392,38,6492,479234
72057594037928331,1130,2476,124,473910,2854,7372,487866,6950,1396,40,8386,479480
72057594037928396,1114,2498,136,458212,2860,7998,472818,6960,3124,38,10122,462696
72057594037928473,1144,2472,574,479760,2834,7408,494192,6882,1336,38,8256,485936
72057594037928507,1180,2558,330,469486,2820,7776,484150,6836,1330,38,8204,475946
72057594037928706,1196,2456,152,464568,2768,2864,474004,7582,1304,38,8924,465080
72057594037928255,2126,2342,262,465426,3276,19090,492522,8166,1372,38,9576,482946
72057594037928643,1098,2198,382,476656,2678,7598,490610,7672,1242,36,8950,481660
72057594037928103,1084,2486,176,731860,3630,8220,747456,7408,1660,42,9110,738346
72057594037928114,1090,2348,140,485138,2726,6998,498440,29960,1374,38,31372,467068
72057594037928117,302,2214,304,615348,2652,3672,624492,7786,2286,42,10114,614378
72057594037928289,1148,2298,276,457894,2510,7120,471246,7312,1456,36,8804,462442
72057594037928600,1058,2332,334,484146,3462,7852,499184,7222,1424,40,8686,490498
72057594037928033,1094,2346,74,700332,3834,19234,726914,2730,1938,38,4706,722208
72057594037928263,1114,2354,184,471774,2636,7544,485606,7538,1340,36,8914,476692
72057594037929117,1106,2450,314,477346,3834,7128,492178,7002,1284,38,8324,483854
72057594037929146,1126,2480,188,465858,2848,9286,481786,7260,1378,38,8676,473110
72057594037929325,1286,2446,316,470618,2594,7226,484486,4088,1296,36,5420,479066
72057594037929371,1148,2370,238,468998,2826,8338,483918,5368,1376,40,6784,477134
72057594037928255,2152,2528,76,484588,2874,19292,511510,8166,1372,38,9576,501934
72057594037928280,1132,2364,310,478304,4034,8124,494268,6680,1412,40,8132,486136
